Paper ID|Paper Title|E-Track ID|E-Track Title|E-Session ID|E-Session Title|Primary Author ID|Primary Author|Primary Author's Country|Authors|Paper's type|Decision|Starting Time|Rank|UTC time|Times Constraints - Day 1|Times Constraints - Day 2|Times Constraints - Day 3
260|Complex systems engineering: multi-scale collective construction in artificial insects|7|Engineering and Control of Self-Organization|129|Invited Talk e-session|429|Seth  Bullock|GB|Seth  Bullock|Advanced Introduction invited talk|0||s|UTC+1|[11,19]|[11,19]|
300|Collective construction|7|Engineering and Control of Self-Organization|129|Invited Talk e-session|471|Justin  Werfel|US|Justin  Werfel|Advanced Introduction invited talk|0||||||
301|Decentralized sensor networks|7|Engineering and Control of Self-Organization|129|Invited Talk e-session|472|Matt  Duckham|AU|Matt  Duckham|Advanced Introduction invited talk|0|||UTC+10|[10,12],[22,24]|[2,4],[8,12]|
361|Artificial chemistries|7|Engineering and Control of Self-Organization|129|Invited Talk e-session|538|Lidia  Yamamoto||Lidia  Yamamoto|Advanced Introduction invited talk|0|||UTC+2|[7,10]|[13,21]|
362|Autonomic computing: autonomic management in open multi-objective computing networks|7|Engineering and Control of Self-Organization|129|Invited Talk e-session|539|Ada  Diaconescu|FR|Ada  Diaconescu|Advanced Introduction invited talk|0||||||
407|Evolutionary collective robotics: embodied evolution and lifelong learning|7|Engineering and Control of Self-Organization|129|Invited Talk e-session|586|Nicolas  Bredeche||Nicolas  Bredeche|Advanced Introduction invited talk|0|||UTC+2||[8,14]|
408|Guided self-organization: information dynamics of complex computation|7|Engineering and Control of Self-Organization|129|Invited Talk e-session|587|Mikhail  Prokopenko||Mikhail  Prokopenko|Advanced Introduction invited talk|0|||UTC+10||[1,2]|
409|Morphogenetic engineering:  toward programmable complex systems|7|Engineering and Control of Self-Organization|129|Invited Talk e-session|588|René  Doursat||René  Doursat|Advanced Introduction invited talk|0|||UTC+2|[7,21]|[6,21]|
410|Organic computing|7|Engineering and Control of Self-Organization|129|Invited Talk e-session|589|Christoph von der Malsburg||Christoph von der Malsburg|Advanced Introduction invited talk|0|||UTC+2|[7,16]||
411|Pervasive adaptation: knowledge commons and design contractualism|7|Engineering and Control of Self-Organization|129|Invited Talk e-session|590|Jeremy  Pitt||Jeremy  Pitt|Advanced Introduction invited talk|0|||UTC+0|[10,19]|[10,17]|
